SMILES,Density_MD (kg/m3)
Oc1coc(c1c1cscc1)C,1266.54
Oc1csc(c1C)c1cocc1,1255.85
Oc1nccnc1C1(O)CCCC1,1177.21
Oc1occ(c1)c1ccc(s1)C,1211.68
Oc1scc(c1)Cc1ccco1,1207.33
Oc1scc(c1)c1ccoc1C,1254.24
Oc1sccc1Cc1ccoc1,1212.24
SCc1ccc(o1)c1cocc1,1219.78
SCc1coc(c1)c1ccco1,1209.42
Sc1coc(c1)Cc1cocc1,1192.74
Sc1occ(c1)Cc1ccco1,1189.03
o1ccc(c1)CCc1cnsn1,1216.51
CC1(CCCC1)c1ncc(s1)C,1024.3
CC1(CCCC1)c1ncsc1C,1049.03
CC1NCN(C(N1)c1ccco1)C,1138.07
CC1NCNC(N1)c1ccoc1C,1128.99
CCC1NCNCN1c1cocc1,1138.07
CN1CNCN(C1)c1occc1C,1140.15
Cc1cnc(s1)c1ccoc1O,1279.29
Cc1coc(c1c1cncs1)O,1317.05
Cc1nc(c(s1)c1ccco1)O,1283.32
Cc1oc(c(c1)c1nccs1)O,1283.61
Cc1occ(c1)c1ncc(s1)O,1271.72
Cc1occ(c1O)c1cscn1,1290.88
Cc1sc(c(n1)c1cocc1)O,1285.35
OCc1ccc(o1)c1cncs1,1286.89
OCc1ccc(o1)c1nccs1,1289.63
Oc1cnc(s1)c1ccoc1C,1296.93
Oc1cocc1c1scnc1C,1321.18
Oc1csc(n1)Cc1ccco1,1259.77
Oc1ncc(s1)Cc1ccco1,1255.47
Oc1oc(c(c1)c1nccs1)C,1295.65
Oc1occ(c1)c1ncc(s1)C,1267.08
Oc1sc(c(n1)c1ccco1)C,1292.3
CC1CCC(C1)(S)c1ccco1,1072.19
CC1CCC(C1)Oc1cccs1,1044.96
CC1CCC(C1)c1ccc(o1)S,1058.11
CC1CCC(C1c1ccsc1)O,1080.15
CC1CCCC1Cc1nsnc1,1074.72
CCC1CCC(C1)c1nsnc1,1078.03
COc1ccc(o1)c1nsnc1,1338.35
CSC1CCC(C1)c1cocc1,1057.95
CSc1cocc1C1CCCC1,1064.61
Cc1cc(oc1C1CCCC1)S,1059.31
Cc1ccc(o1)Oc1nncs1,1283.74
Cc1ccccc1c1ccccc1C,952.31
Cc1ccsc1OC1CCCC1,1045.45
Cc1coc(c1)c1nsnc1O,1348.79
Cc1coc(c1C1CCCC1)S,1069.31
Cc1nnc(s1)Oc1ccco1,1280.31
Cc1occ(c1)c1nsnc1O,1358.03
OC1CC(CC1C)c1cccs1,1072.28
OC1CCC(C1)c1csc(c1)C,1080.23
OC1CCC(C1C)c1cccs1,1079.49
OC1CCCC1c1sccc1C,1083
OCc1ccc(o1)c1nsnc1,1359.95
OCc1occc1c1nsnc1,1389.14
Oc1cc(c(o1)c1cocc1)S,1359.89
Oc1ccc(o1)Oc1cscc1,1310.98
Oc1ccc(o1)c1coc(c1)S,1331.65
Oc1ccoc1Sc1ccco1,1319.5
Oc1ccoc1c1occc1S,1357.79
Oc1coc(c1)c1cocc1S,1354.05
Oc1coc(c1)c1occc1S,1353.89
Oc1coc(c1S)c1ccco1,1364.92
Oc1csc(c1)c1ccoc1O,1364.17
Oc1csc(c1O)c1ccco1,1375.46
Oc1csc(c1O)c1cocc1,1374.98
Oc1nsnc1Cc1ccco1,1337.52
Oc1occ(c1)c1ccsc1O,1370.28
Oc1occc1c1cocc1S,1381.85
SC1(CCCC1)Cc1cocc1,1076.73
SC1(CCCC1)c1ccc(o1)C,1065.36
SC1CCC(C1)c1coc(c1)C,1063.95
SC1CCCC1c1occc1C,1068.62
SOc1ccc(o1)c1ccco1,1304.14
SOc1coc(c1)c1cocc1,1318.24
SOc1occ(c1)c1cocc1,1317.97
Sc1ccc(o1)Oc1cocc1,1298.1
Sc1ccoc1c1ccoc1O,1373.82
