Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom,Pol_tz
1468415,C1CSC(C(S1)c1ccc2c(c1)cccc2c1cscn1)c1cccnc1,F6-F11-F16-F14,296.1768,1251.44,370.647494592,1.5969,305.2301,4,406.58672,1.6195755462399999,339.1231
1468573,C1CSC(C(S1)c1cncc(n1)c1ccc2c(c1)cccc2)c1cccs1,F6-F12-F7-F16,309.3576,1255.79,388.488180504,1.6328,312.9718,4,406.58672,1.64211024027,349.6929
1468766,C1CSC(CS1)(c1ccccn1)c1cc(cc2c1cccc2)c1cncs1,F6-F11-F16-F14,299.2181,1248.79,373.66057109900004,1.6029,308.993,4,406.58672,1.6274637485499999,340.8272
1468798,C1CSC(CS1)(c1cccnc1)c1ccc2c(c1)cc(cc2)c1nccs1,F6-F11-F16-F14,315.6992,1269.78,400.868530176,1.6583,321.2655,4,406.58672,1.67316724551,355.1856
1469173,C1CSC(CS1)C1SC(CSC1c1nncs1)c1nsnc1,F6-F13-F8-F6,237.3804,1450.73,344.37486769199995,1.5456,239.8349,4,406.65636,1.5524261352700002,272.9892
1469333,C1CSC(CS1)c1c(ccc2c1ccc(c2)c1cscn1)c1ccncc1,F14-F16-F11-F6,310.2836,1246.74,386.842975464,1.6294,322.7869,4,406.58672,1.66161058224,357.0425
1469544,C1CSC(CS1)c1cc(cc2c1cccc2)c1ccncc1c1cscn1,F11-F16-F14-F6,294.0761,1254.03,368.780251683,1.5932,303.3142,4,406.58672,1.61632103152,336.049
1469583,C1CSC(CS1)c1cc(cc2c1cccc2)c1scnc1c1ccncc1,F14-F16-F11-F6,298.5469,1220.46,364.364549574,1.5845,309.4453,4,406.58672,1.6108896087,342.9836
1469927,C1CSC(CS1)c1ccc(c2c1c(ccc2)c1cscn1)c1ccncc1,F14-F16-F11-F6,295.1167,1254.2,370.13536514,1.5959,310.0143,4,406.58672,1.63348348951,342.5717
1470006,C1CSC(CS1)c1ccc(c2c1cccc2)c1nccc(c1)c1cscn1,F11-F16-F14-F6,305.4184,1259.11,384.555361624,1.6248,314.921,4,406.58672,1.6493186018700001,350.5498
1470056,C1CSC(CS1)c1ccc(cc1)c1cccc2c1cccc2c1nncs1,F8-F16-F5-F6,301.7681,1253.6,378.29649016,1.6122,321.9748,4,406.58672,1.6641128217899999,354.983
1470167,C1CSC(CS1)c1ccc(s1)c1ccc(c2c1cccc2)c1cnccn1,F7-F16-F12-F6,305.9209,1251.66,382.908953694,1.6215,332.4946,4,406.58672,1.69065289246,368.0451
1470297,C1CSC(CS1)c1ccc2c(c1)c(ccc2c1nncs1)c1ccccc1,F8-F16-F5-F6,300.9329,1246.97,375.25429831300005,1.6061,319.5462,4,406.58672,1.6533485732299997,354.9429
1470323,C1CSC(CS1)c1ccc2c(c1)cc(cc2)c1ccncc1c1nccs1,F11-F16-F14-F6,297.4277,1240.99,369.104801423,1.5938,309.9246,4,406.58672,1.6249155881900001,342.2724
1470407,C1CSC(CS1)c1ccc2c(c1)ccc(c2)c1csc(n1)c1ccccn1,F14-F16-F11-F6,329.8909,1272.91,419.921425519,1.6987,340.6334,4,406.58672,1.72848761067,375.4149
1470638,C1CSC(CS1)c1ccc2c(c1c1ncsc1c1ccccn1)cccc2,F14-F16-F11-F6,294.4926,1245.98,366.931889748,1.5895,306.9026,4,406.58672,1.6204194650400001,336.9732
1470648,C1CSC(CS1)c1ccc2c(c1c1nsnc1c1ccccc1)cccc2,F13-F16-F5-F6,294.3041,1240.26,365.013603066,1.5857,299.3768,4,406.58672,1.5981824631200001,331.3859
1470693,C1CSC(CS1)c1cccc(n1)c1cc2ccccc2c(c1)c1nccs1,F14-F16-F11-F6,306.7741,1256.01,385.311337341,1.6263,320.9925,4,406.58672,1.6631546124,352.7782
1471036,C1CSC(CS1)c1cccc2c1cccc2c1ncc(s1)c1ccccn1,F14-F16-F11-F6,321.4627,1264.86,406.60531072199996,1.6704,344.4117,4,406.58672,1.73298647335,378.7412
1471073,C1CSC(CS1)c1ccccc1c1cccc2c1cc(cc2)c1nsnc1,F13-F16-F5-F6,300.4069,1248.51,375.061018719,1.6057,306.7328,4,406.58672,1.6215617689200001,342.4605
1471123,C1CSC(CS1)c1ccnc(c1)c1c(ccc2c1cccc2)c1cncs1,F14-F16-F11-F6,289.8674,1252.4,363.02993176,1.5818,301.158,4,406.58672,1.6098954942500001,332.739
1471369,C1CSC(CS1)c1cnc(s1)c1nccc(c1)c1ccc2c(c1)cccc2,F11-F16-F14-F6,324.3546,1266.91,410.928086286,1.6795,334.0422,4,406.58672,1.70578105998,368.784
1471424,C1CSC(CS1)c1cncc(c1c1cncs1)c1cccc2c1cccc2,F11-F16-F14-F6,286.5905,1233.47,353.500784035,1.5633,298.6281,4,406.58672,1.59231893259,324.5461
1471572,C1CSC(CS1)c1csc(n1)c1cccc2c1cccc2c1cccnc1,F14-F16-F11-F6,297.3699,1253.21,372.666932379,1.6009,311.7142,4,406.58672,1.6372154028,345.57
1471621,C1CSC(CS1)c1nc(ccc1c1cccc2c1cccc2)c1cncs1,F11-F16-F14-F6,303.4926,1241.91,376.91049486599996,1.6094,310.5284,4,406.58672,1.62701829308,343.4954
1471817,C1CSC(CS1)c1nccnc1c1ccc(c2c1cccc2)c1cccs1,F7-F16-F12-F6,296.0399,1232.26,364.798127174,1.5853,314.6844,4,406.58672,1.6313457148,346.1989
1472075,C1CSC(CS1)c1scnc1c1ccc2c(c1)c(ccc2)c1ccccn1,F14-F16-F11-F6,296.0647,1235.76,365.86491367199994,1.5874,322.9241,4,406.58672,1.65457848287,344.9502
1472273,C1SCC(SC1)(c1ccccc1)c1nnc(s1)c1ccc2c(c1)cccc2,F5-F6-F8-F16,313.9294,1264.93,397.09871594199996,1.6505,321.7258,4,406.58672,1.67111085229,354.9247
1472354,C1SCC(SC1)(c1ccncc1c1nccs1)c1cccc2c1cccc2,F6-F11-F14-F16,283.1222,1252.55,354.62471161,1.5654,288.125,4,406.58672,1.57764427817,318.1462
1472370,C1SCC(SC1)(c1csc(n1)c1cccnc1)c1ccc2c(c1)cccc2,F11-F14-F6-F16,305.6443,1253.12,383.008985216,1.6217,315.0114,4,406.58672,1.6456547447,344.9746
1472559,C1SCC(SC1)c1c(ccc2c1c(ccc2)c1cccnc1)c1ncsc1,F14-F16-F11-F6,290.3331,1232.62,357.870385722,1.5717,302.684,4,406.58672,1.6017444015,338.0878
1472948,C1SCC(SC1)c1ccc2c(c1)cc(cc2c1nccs1)c1ccncc1,F14-F16-F11-F6,309.1641,1270.54,392.805355614,1.6417,325.2062,4,406.58672,1.6842903543599999,358.6258
1472959,C1SCC(SC1)c1ccc2c(c1)ccc(c2c1nccs1)c1ccccn1,F14-F16-F11-F6,302.6273,1221.06,369.52609093800004,1.5947,317.6316,4,406.58672,1.63149719514,350.4031
1472979,C1SCC(SC1)c1ccc2c(c1c1cccs1)c(ccc2)c1nccnc1,F7-F16-F12-F6,292.9862,1251.79,366.75719529800006,1.5892,305.5255,4,406.58672,1.62053934898,336.6144
1473032,C1SCC(SC1)c1cccc2c1c(c1cccs1)c(cc2)c1nccnc1,F7-F16-F12-F6,292.3813,1252.84,366.306987892,1.5883,306.1106,4,406.58672,1.62267301833,338.3328
1473252,C1SCC(SC1)c1ncccc1c1cccc2c1cccc2c1nccs1,F14-F16-F11-F6,295.351,1234.46,364.59899546,1.5849,310.4248,4,406.58672,1.6220640289100001,343.3796
1473258,C1SCC(SC1)c1ncccc1c1ncsc1c1ccc2c(c1)cccc2,F14-F16-F11-F6,301.0608,1228.96,369.99168076800004,1.5956,314.6377,4,406.58672,1.6291119051700003,351.2868
1473378,N1CNC(NC1)C1CSC(CS1)C1SCCSC1c1nccs1,F6-F9-F6-F14,244.1618,1365.26,333.344339068,1.5247,249.0557,4,406.67627999999996,1.5373049208,281.3627
1473549,S1CC(SC(C1)c1ccccc1)c1cccc2c1cc(cc2)c1nsnc1,F13-F16-F6-F5,311.4176,1260.3,392.47960128,1.641,317.2394,4,406.58672,1.65615902155,351.385
1473561,S1CC(SC(C1)c1ccccn1)c1ccc(c2c1cccc2)c1nccs1,F6-F11-F16-F14,307.3917,1255.22,385.844209674,1.6274,324.1291,4,406.58672,1.6708849822,357.7844
1473835,S1CC(SC(C1)c1cscn1)c1ccncc1c1cccc2c1cccc2,F6-F11-F14-F16,290.7173,1236.88,359.582414024,1.5751,300.094,4,406.58672,1.5979343843,333.4885
1473880,S1CC(SC(C1)c1nccs1)c1cccc2c1cc(cc2)c1ccccn1,F11-F16-F6-F14,312.1991,1262.82,394.251267462,1.6446,315.5296,4,406.58672,1.65333313734,353.0091
1473891,S1CC(SC(C1)c1nccs1)c1ccnc(c1)c1ccc2c(c1)cccc2,F6-F11-F14-F16,311.9337,1261.91,393.63225536699997,1.6434,325.3155,4,406.58672,1.67862513611,352.7281
1474022,c1ccc(cc1)C1(SCCSC1c1cccc2c1cccc2)c1cnsn1,F5-F6-F13-F16,288.1776,1260.05,363.11818488,1.5819999999999999,290.8149,4,406.58672,1.58854969769,322.1226
1474078,c1ccc(cc1)C1SC(CSC1c1scnn1)c1ccc2c(c1)cccc2,F5-F6-F8-F16,299.6584,1261.51,378.02206818400003,1.6116,305.0195,4,406.58672,1.62526441877,338.046
1474342,c1ccc(cn1)C1SCC(SC1)c1ncsc1c1ccc2c(c1)cccc2,F6-F11-F14-F16,301.7989,1259.55,380.130804495,1.6158,307.3684,4,406.58672,1.6300668761000001,343.4079
1474517,c1ccc(nc1)C1(CSCC(S1)c1cscn1)c1ccc2c(c1)cccc2,F6-F11-F14-F16,300.8258,1253.18,376.988876044,1.6095,307.0034,4,406.58672,1.6251535009,338.472
1474533,c1ccc(nc1)C1(SCC(SC1)c1scnc1)c1cccc2c1cccc2,F6-F11-F14-F16,291.1898,1245.73,362.743869554,1.5813,295.0408,4,406.58672,1.59072170006,326.2659
1474797,c1ccc(nc1)c1cnc(s1)C1SCCSC1c1cccc2c1cccc2,F11-F14-F6-F16,307.7261,1268.04,390.209003844,1.6363,314.1586,4,406.58672,1.65314337184,346.8354
1474831,c1cnc(c(c1)C1CSC(CS1)c1cncs1)c1ccc2c(c1)cccc2,F6-F11-F14-F16,295.5872,1239.06,366.250276032,1.5882,311.6004,4,406.58672,1.62791989973,346.5143
1474874,c1cnc(cn1)C1CSC(C(S1)c1cscc1)c1cccc2c1cccc2,F6-F12-F7-F16,291.8693,1262.7,368.54336511,1.5927,297.7745,4,406.58672,1.60754956597,330.2447
1474880,c1cnc(cn1)C1CSC(CS1)c1cc2ccccc2c(c1)c1cscc1,F6-F12-F16-F7,299.1268,1263.9,378.06636252,1.6117,305.6668,4,406.58672,1.62840970586,337.5462
